Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
2 Oct,87,48,--,--,14,55,Bon,9h 17min.,22:26,7:46
1 Oct,89,45,--,--,14,55,Bon,7h 32min.,23:32,7:05
30 Sep.,--,--,--,--,--,--,--,--,--,--
29 Sep.,28,53,--,--,18,46,Mauvais,3h 32min.,4:45,8:24
28 Sep.,28,68,--,--,17,55,Mauvais,3h 38min.,3:48,8:13
27 Sep.,89,48,--,--,14,69,Bon,7h 35min.,23:50,7:44
26 Sep.,85,49,--,--,13,70,Bon,7h 15min.,23:52,7:07
25 Sep.,87,49,--,--,14,67,Bon,7h 30min.,23:46,7:20
24 Sep.,37,58,--,--,17,65,Mauvais,4h 51min.,3:23,8:59
23 Sep.,92,46,--,--,13,95,Excellent,8h 32min.,23:15,7:52
22 Sep.,97,45,--,--,14,63,Excellent,8h 7min.,23:49,7:57
21 Sep.,92,46,--,--,14,53,Excellent,7h 38min.,23:44,7:25
20 Sep.,94,48,--,--,14,48,Excellent,8h 15min.,23:09,7:29
19 Sep.,--,--,--,--,--,--,--,--,--,--
18 Sep.,--,--,--,--,--,--,--,--,--,--
17 Sep.,--,--,--,--,--,--,--,--,--,--
16 Sep.,32,56,--,--,16,55,Mauvais,4h 19min.,4:48,10:05
15 Sep.,63,56,--,--,15,65,Passable,7h 18min.,0:38,8:12
14 Sep.,82,53,--,--,14,69,Bon,7h 43min.,23:36,7:25
13 Sep.,75,52,--,--,13,69,Passable,8h 28min.,22:58,7:48
12 Sep.,87,49,--,--,14,70,Bon,8h 44min.,22:36,7:33
11 Sep.,93,47,--,--,13,70,Excellent,8h 55min.,23:34,8:29
10 Sep.,82,55,--,--,14,68,Bon,8h 53min.,0:28,9:22
9 Sep.,--,--,--,--,--,--,--,--,--,--
8 Sep.,79,50,--,--,14,76,Passable,7h 25min.,23:35,7:20
7 Sep.,80,50,--,--,14,62,Bon,7h 43min.,23:13,7:21
6 Sep.,81,52,--,--,14,66,Bon,8h 19min.,22:52,7:29
5 Sep.,92,52,--,--,14,67,Excellent,7h 48min.,23:35,7:35
