Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
22 Jan.,89,--,71,--,13,--,Bon,8h 8min.,23:52,8:00
21 Jan.,--,--,--,--,--,--,--,--,--,--
20 Jan.,--,--,--,--,--,--,--,--,--,--
19 Jan.,--,--,--,--,--,--,--,--,--,--
18 Jan.,--,--,--,--,--,--,--,--,--,--
17 Jan.,75,57,--,--,13,45,Passable,7h 45min.,0:23,8:08
16 Jan.,18,60,--,--,18,45,Mauvais,2h 19min.,3:21,6:08
15 Jan.,83,55,--,--,13,56,Bon,8h 18min.,23:25,7:46
14 Jan.,86,54,79,--,13,54,Bon,9h 18min.,23:18,8:36
13 Jan.,37,56,--,--,16,49,Mauvais,6h 22min.,1:11,8:27
12 Jan.,46,62,--,--,14,39,Mauvais,7h 41min.,23:39,8:01
11 Jan.,83,55,--,--,14,35,Bon,8h 38min.,23:26,8:04
10 Jan.,87,53,--,--,13,37,Bon,9h 47min.,22:41,8:29
9 Jan.,--,--,--,--,--,--,--,--,--,--
8 Jan.,--,--,--,--,--,--,--,--,--,--
7 Jan.,--,--,--,--,--,--,--,--,--,--
6 Jan.,38,57,10,--,18,49,Mauvais,5h 31min.,3:44,10:02
5 Jan.,44,60,--,--,16,63,Mauvais,6h 29min.,0:55,7:52
4 Jan.,93,49,--,--,14,72,Excellent,7h 33min.,23:53,7:31
3 Jan.,88,50,80,--,14,71,Bon,7h 31min.,0:27,8:00
2 Jan.,79,52,--,--,14,72,Passable,7h 36min.,0:34,8:19
1 Jan.,44,54,--,--,14,78,Mauvais,6h 6min.,2:11,8:34
31 Déc.,92,50,77,--,14,83,Excellent,8h 31min.,23:32,8:04
30 Déc.,57,54,53,--,14,86,Mauvais,6h 17min.,1:26,9:09
29 Déc.,83,52,78,--,13,92,Bon,8h 25min.,23:56,8:40
28 Déc.,--,--,--,--,--,--,--,--,--,--
27 Déc.,82,49,75,--,14,76,Bon,6h 38min.,1:38,8:23
26 Déc.,77,47,88,--,14,76,Passable,8h 58min.,23:37,9:02
