Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
20 Fév.,64,47,--,--,15,64,Passable,8h 49min.,22:48,8:04
19 Fév.,--,--,--,--,--,--,--,--,--,--
18 Fév.,37,54,--,--,14,61,Mauvais,7h 18min.,0:33,8:47
17 Fév.,78,48,--,--,14,65,Passable,8h 4min.,23:18,7:31
16 Fév.,--,--,--,--,--,--,--,--,--,--
15 Fév.,75,49,--,--,--,64,Passable,6h 55min.,0:28,7:45
14 Fév.,71,51,--,--,14,65,Passable,8h 9min.,23:16,7:33
13 Fév.,91,50,--,--,--,67,Excellent,7h 58min.,23:31,7:30
12 Fév.,54,50,--,--,--,69,Mauvais,7h 25min.,23:41,7:10
11 Fév.,82,52,--,--,--,75,Bon,8h 40min.,23:50,8:35
10 Fév.,75,52,--,--,14,78,Passable,8h 33min.,22:37,7:24
9 Fév.,80,51,--,--,14,82,Bon,8h 5min.,22:44,7:11
8 Fév.,60,52,--,--,14,85,Passable,7h 46min.,22:25,7:03
7 Fév.,87,50,--,--,14,85,Bon,8h 56min.,22:09,7:09
6 Fév.,88,51,--,--,15,85,Bon,8h 16min.,22:22,6:43
5 Fév.,92,47,--,--,14,82,Excellent,9h 14min.,23:30,8:45
4 Fév.,78,48,--,--,14,64,Passable,8h 35min.,23:02,8:27
3 Fév.,--,--,--,--,--,--,--,--,--,--
2 Fév.,--,--,--,--,--,--,--,--,--,--
1 Fév.,77,53,--,--,14,65,Passable,7h 38min.,22:48,6:32
31 Jan.,87,49,--,--,13,66,Bon,8h 2min.,22:54,6:57
30 Jan.,91,51,--,--,14,68,Excellent,8h 42min.,23:06,7:50
29 Jan.,41,53,--,--,15,68,Mauvais,5h 44min.,1:26,8:07
28 Jan.,73,51,--,--,14,79,Passable,6h 4min.,0:03,6:22
27 Jan.,88,49,--,--,14,78,Bon,8h 6min.,22:18,6:30
26 Jan.,89,50,--,--,13,75,Bon,8h 0min.,22:24,6:29
25 Jan.,86,48,--,--,14,73,Bon,7h 9min.,23:19,6:30
24 Jan.,78,49,--,--,14,74,Passable,7h 21min.,22:21,5:58
