Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
23 Jan.,82,48,--,--,14,75,Bon,8h 21min.,23:19,8:03
22 Jan.,86,50,--,--,14,76,Bon,8h 14min.,0:17,8:39
21 Jan.,72,52,--,--,15,75,Passable,6h 44min.,23:56,7:21
20 Jan.,78,47,--,--,16,78,Passable,8h 43min.,22:38,8:27
19 Jan.,85,47,--,--,14,83,Bon,8h 43min.,22:08,6:53
18 Jan.,95,47,--,--,14,83,Excellent,8h 41min.,22:11,6:52
17 Jan.,90,46,--,--,14,82,Excellent,9h 34min.,22:30,8:04
16 Jan.,69,47,--,--,14,82,Passable,7h 34min.,23:50,7:33
15 Jan.,--,--,--,--,--,--,--,--,--,--
14 Jan.,75,51,--,--,14,85,Passable,7h 14min.,23:17,7:00
13 Jan.,90,49,--,--,14,88,Excellent,8h 17min.,22:11,6:29
12 Jan.,87,51,--,--,14,88,Bon,7h 37min.,22:52,6:30
11 Jan.,81,49,--,--,14,90,Bon,6h 51min.,--,6:52
10 Jan.,92,46,--,--,14,90,Excellent,8h 42min.,22:46,7:29
9 Jan.,88,46,--,--,14,88,Bon,9h 9min.,22:52,8:01
8 Jan.,52,47,--,--,14,82,Mauvais,9h 20min.,21:31,8:43
7 Jan.,--,--,--,--,--,--,--,--,--,--
6 Jan.,90,49,--,--,14,80,Excellent,8h 25min.,21:59,6:32
5 Jan.,82,47,--,--,14,77,Bon,8h 41min.,22:49,7:30
4 Jan.,85,46,--,98,15,74,Bon,9h 37min.,22:39,8:19
3 Jan.,62,46,--,--,14,64,Passable,9h 46min.,21:50,8:39
2 Jan.,89,47,--,--,15,56,Bon,8h 50min.,1:21,10:12
1 Jan.,--,--,--,--,--,--,--,--,--,--
31 Déc.,65,56,--,--,14,48,Passable,8h 41min.,0:40,11:01
30 Déc.,65,55,--,--,14,46,Passable,8h 35min.,0:29,11:38
29 Déc.,63,58,--,--,14,46,Passable,9h 43min.,0:18,10:13
28 Déc.,32,60,--,--,16,45,Mauvais,5h 24min.,3:36,10:24
27 Déc.,39,58,--,--,15,44,Mauvais,6h 3min.,3:11,10:53
