Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
12 Juin,83,48,--,--,14,76,Bon,7h 10min.,23:19,6:36
11 Juin,--,--,--,--,--,--,--,--,--,--
10 Juin,--,--,--,--,--,--,--,--,--,--
9 Juin,70,53,--,--,13,80,Passable,8h 16min.,0:11,8:42
8 Juin,82,50,--,--,14,83,Bon,7h 58min.,23:39,7:52
7 Juin,73,52,--,--,13,86,Passable,6h 56min.,0:14,7:43
6 Juin,77,51,--,--,14,89,Passable,7h 18min.,0:17,8:15
5 Juin,75,48,--,--,14,90,Passable,5h 53min.,0:17,6:12
4 Juin,75,51,--,--,14,87,Passable,8h 13min.,1:03,9:22
3 Juin,--,--,--,--,--,--,--,--,--,--
2 Juin,90,48,--,--,13,91,Excellent,8h 19min.,23:46,8:18
1 Juin,82,48,--,--,13,92,Bon,7h 8min.,0:12,7:37
31 Mai,90,49,--,--,14,91,Excellent,9h 27min.,23:40,9:18
30 Mai,85,45,--,--,14,91,Bon,7h 2min.,23:35,6:39
29 Mai,64,49,--,--,14,94,Passable,8h 23min.,0:34,9:19
28 Mai,--,--,--,--,--,--,--,--,--,--
27 Mai,88,45,--,--,14,101,Bon,7h 9min.,22:51,6:01
26 Mai,87,47,--,--,14,96,Bon,8h 31min.,22:59,7:45
25 Mai,68,48,--,--,14,96,Passable,6h 53min.,23:13,6:16
24 Mai,79,47,--,--,15,96,Passable,7h 33min.,23:39,7:48
23 Mai,85,45,--,--,14,97,Bon,7h 37min.,0:19,7:56
22 Mai,80,47,--,--,14,95,Bon,7h 37min.,23:56,8:05
21 Mai,--,--,--,--,--,--,--,--,--,--
20 Mai,87,47,--,--,14,93,Bon,10h 49min.,22:57,9:56
19 Mai,--,--,--,--,--,--,--,--,--,--
18 Mai,73,48,--,--,14,93,Passable,8h 42min.,23:17,8:22
17 Mai,93,45,--,--,14,92,Excellent,7h 53min.,23:23,7:17
16 Mai,97,44,--,--,13,88,Excellent,8h 54min.,22:32,7:30
