Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
10 Juil,79,46,--,--,14,65,Passable,9h 35min.,22:01,7:46
9 Juil,87,49,--,--,14,65,Bon,9h 27min.,0:34,10:01
8 Juil,21,69,--,--,17,63,Mauvais,3h 26min.,7:21,11:50
7 Juil,90,48,--,--,13,72,Excellent,8h 10min.,23:24,7:38
6 Juil,80,51,--,--,15,74,Bon,8h 5min.,23:33,7:51
5 Juil,83,51,--,--,14,81,Bon,8h 48min.,22:45,7:38
4 Juil,84,53,--,--,13,82,Bon,9h 49min.,23:40,9:32
3 Juil,86,49,--,--,13,86,Bon,7h 14min.,1:07,8:21
2 Juil,--,--,--,--,--,--,--,--,--,--
1 Juil,--,--,--,--,--,--,--,--,--,--
30 Juin,--,--,--,--,--,--,--,--,--,--
29 Juin,83,49,--,--,13,79,Bon,6h 56min.,0:31,7:27
28 Juin,85,49,--,--,14,58,Bon,7h 34min.,23:47,7:23
27 Juin,88,48,--,--,14,58,Bon,7h 59min.,23:22,7:37
26 Juin,83,52,--,--,15,58,Bon,8h 43min.,23:03,7:47
25 Juin,60,53,--,--,14,60,Passable,9h 9min.,23:38,9:48
24 Juin,--,50,--,--,14,--,--,1h 50min.,7:11,9:01
23 Juin,--,--,--,--,--,--,--,--,--,--
22 Juin,16,52,--,--,18,67,Mauvais,1h 49min.,6:55,8:47
21 Juin,79,48,--,--,14,88,Passable,7h 30min.,23:23,7:31
20 Juin,87,47,--,--,14,93,Bon,7h 34min.,23:20,7:14
19 Juin,90,46,--,--,14,92,Excellent,8h 11min.,23:09,7:26
18 Juin,89,48,--,--,14,89,Bon,8h 32min.,0:40,9:20
17 Juin,--,--,--,--,--,--,--,--,--,--
16 Juin,96,46,--,--,14,89,Excellent,7h 57min.,23:50,7:53
15 Juin,--,--,--,--,--,--,--,--,--,--
14 Juin,86,48,--,--,14,81,Bon,8h 27min.,23:32,8:01
13 Juin,91,47,--,--,14,77,Excellent,8h 57min.,23:15,8:22
