Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
19 Fév.,95,48,75,--,13,75,Excellent,8h 42min.,0:01,8:44
18 Fév.,--,--,--,--,--,--,--,--,--,--
17 Fév.,--,--,--,--,--,--,--,--,--,--
16 Fév.,56,56,35,--,15,67,Mauvais,6h 35min.,1:17,8:11
15 Fév.,57,53,--,--,14,72,Mauvais,7h 1min.,23:45,8:01
14 Fév.,84,49,77,--,14,75,Bon,8h 31min.,23:14,8:00
13 Fév.,90,49,75,--,13,77,Excellent,7h 53min.,23:53,7:51
12 Fév.,87,51,83,--,13,79,Bon,9h 0min.,23:25,8:29
11 Fév.,32,57,--,--,15,79,Mauvais,4h 48min.,3:56,10:22
10 Fév.,52,50,--,--,14,91,Mauvais,8h 3min.,22:17,8:42
9 Fév.,77,49,75,--,13,92,Passable,8h 35min.,23:19,8:19
8 Fév.,79,49,79,--,13,92,Passable,9h 31min.,22:24,8:32
7 Fév.,84,47,79,--,14,--,Bon,8h 44min.,22:39,7:40
6 Fév.,88,49,--,--,13,--,Bon,9h 39min.,22:30,8:14
5 Fév.,71,51,65,--,13,--,Passable,6h 59min.,23:09,6:21
4 Fév.,--,--,--,--,--,--,--,--,--,--
3 Fév.,--,--,--,--,--,--,--,--,--,--
2 Fév.,--,--,--,--,--,--,--,--,--,--
1 Fév.,--,--,--,--,--,--,--,--,--,--
31 Jan.,--,--,--,--,--,--,--,--,--,--
30 Jan.,92,48,79,--,13,64,Excellent,8h 57min.,23:28,8:28
29 Jan.,88,52,--,--,14,62,Bon,8h 7min.,23:29,7:37
28 Jan.,16,61,--,--,17,64,Mauvais,2h 6min.,2:55,5:32
27 Jan.,83,52,64,--,14,84,Bon,9h 2min.,0:07,9:30
26 Jan.,86,51,85,--,13,87,Bon,9h 24min.,22:48,8:14
25 Jan.,68,50,64,--,14,--,Passable,6h 35min.,23:56,7:57
24 Jan.,--,--,--,--,--,--,--,--,--,--
23 Jan.,89,51,76,--,14,--,Bon,8h 32min.,23:27,8:00
