Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
25 Déc.,94,45,59,--,14,73,Excellent,8h 14min.,23:26,7:42
24 Déc.,93,46,77,--,14,71,Excellent,9h 44min.,23:19,9:13
23 Déc.,88,46,74,--,14,66,Bon,9h 35min.,22:57,8:44
22 Déc.,61,48,58,--,14,64,Passable,4h 49min.,0:39,5:28
21 Déc.,23,54,--,--,18,65,Mauvais,2h 57min.,5:29,8:43
20 Déc.,95,48,70,--,14,78,Excellent,8h 19min.,23:24,7:44
19 Déc.,77,50,66,--,14,80,Passable,7h 13min.,0:58,8:20
18 Déc.,79,50,74,--,13,83,Passable,6h 48min.,0:29,7:39
17 Déc.,77,55,--,--,14,84,Passable,8h 5min.,23:28,7:51
16 Déc.,84,49,--,--,13,88,Bon,8h 20min.,23:46,8:17
15 Déc.,88,48,--,--,13,89,Bon,7h 28min.,0:32,8:05
14 Déc.,65,50,--,--,14,89,Passable,6h 43min.,23:11,6:28
13 Déc.,88,49,--,--,13,90,Bon,9h 7min.,23:19,8:34
12 Déc.,81,47,--,--,13,74,Bon,7h 50min.,1:04,9:00
11 Déc.,89,48,--,--,14,71,Bon,9h 26min.,23:03,8:44
10 Déc.,92,47,--,--,14,68,Excellent,9h 39min.,23:05,8:45
9 Déc.,89,45,--,--,14,65,Bon,8h 3min.,0:41,8:46
8 Déc.,92,47,--,--,14,--,Excellent,10h 41min.,22:53,9:35
7 Déc.,91,47,--,--,14,--,Excellent,10h 3min.,23:02,9:05
6 Déc.,46,55,--,--,16,--,Mauvais,7h 12min.,1:56,9:20
5 Déc.,--,--,--,--,--,--,--,--,--,--
4 Déc.,--,--,--,--,--,--,--,--,--,--
3 Déc.,--,--,--,--,--,--,--,--,--,--
2 Déc.,--,--,--,--,--,--,--,--,--,--
1 Déc.,86,53,--,--,14,50,Bon,8h 22min.,23:10,7:33
30 Nov.,77,58,--,--,14,51,Passable,7h 14min.,0:15,8:04
29 Nov.,83,55,--,--,14,52,Bon,8h 5min.,23:33,7:43
28 Nov.,76,54,--,--,15,50,Passable,6h 46min.,0:29,7:16
