Score de sommeil 4 semaines,Score,Fréquence cardiaque au repos,Body Battery,Oxymètre de pouls,Respiration,Statut de la variabilité de la fréquence cardiaque,Qualité,Durée,Heure de coucher,Heure de lever
4 Sep.,69,56,--,--,14,66,Passable,8h 20min.,22:37,7:42
3 Sep.,79,51,--,--,14,68,Passable,9h 23min.,23:25,9:21
2 Sep.,85,47,--,--,15,55,Bon,10h 41min.,22:42,9:28
1 Sep.,25,55,--,--,16,44,Mauvais,3h 3min.,4:49,7:53
31 Août,89,49,--,--,14,51,Bon,8h 14min.,23:18,7:40
30 Août,88,47,--,--,14,44,Bon,8h 44min.,23:15,8:08
29 Août,91,49,--,--,14,44,Excellent,8h 41min.,23:13,8:05
28 Août,93,47,--,--,13,45,Excellent,8h 27min.,23:44,8:18
27 Août,39,55,--,--,15,40,Mauvais,7h 52min.,4:27,13:05
26 Août,38,57,--,--,16,39,Mauvais,5h 24min.,5:10,10:46
25 Août,75,56,--,--,15,45,Passable,7h 15min.,0:55,8:24
24 Août,40,61,--,--,16,48,Mauvais,6h 35min.,1:17,8:15
23 Août,94,47,--,--,14,56,Excellent,8h 4min.,23:19,7:26
22 Août,92,49,--,--,14,56,Excellent,9h 15min.,22:41,7:59
21 Août,36,54,--,--,16,55,Mauvais,4h 55min.,23:40,5:07
20 Août,31,55,--,--,19,59,Mauvais,3h 59min.,6:00,10:20
19 Août,37,56,--,--,15,78,Mauvais,8h 29min.,0:18,10:15
18 Août,94,49,--,--,13,90,Excellent,8h 17min.,23:22,7:44
17 Août,87,50,--,--,13,--,Bon,7h 49min.,23:40,7:40
16 Août,85,51,--,--,14,--,Bon,7h 25min.,0:53,8:38
15 Août,87,48,--,--,14,--,Bon,9h 14min.,1:23,10:45
14 Août,--,--,--,--,--,--,--,--,--,--
13 Août,--,50,--,--,17,87,--,1h 22min.,6:44,8:06
12 Août,--,--,--,--,--,--,--,--,--,--
11 Août,--,--,--,--,--,--,--,--,--,--
10 Août,90,46,--,--,14,80,Excellent,7h 29min.,23:42,7:13
9 Août,91,46,--,--,13,79,Excellent,7h 40min.,23:39,7:23
8 Août,84,46,--,--,13,78,Bon,7h 26min.,23:51,7:32
